key,video_name,source_exists,result_exists,match,range_mode,start,mid,end,expected_start,expected_end,expected_range_size,missing_views,front_count,front_out_of_range,front_missing_in_range,left_count,left_out_of_range,left_missing_in_range,right_count,right_out_of_range,right_missing_in_range
01/昼多い,person_01_day_high_h265.mp4,True,True,True,start_end,366,5218,12155,366,12155,11789,,11642,0,147,11789,0,0,11789,0,0
01/昼少ない,person_01_day_low_h265.mp4,True,True,True,start_end,361,5599,11599,361,11599,11238,,11068,0,170,11238,0,0,11238,0,0
01/夜多い,person_01_night_high_h265.mp4,True,True,True,start_end,619,6232,12587,619,12587,11968,,11833,0,135,11968,0,0,11968,0,0
01/夜少ない,person_01_night_low_h265.mp4,True,True,True,start_end,346,5724,11930,346,11930,11584,,11504,0,80,11584,0,0,11584,0,0
02/昼多い,person_02_day_high_h265.mp4,True,True,True,start_end,98,4309,8913,98,8913,8815,,8682,0,133,8815,0,0,8815,0,0
02/昼少ない,person_02_day_low_h265.mp4,True,True,True,start_end,152,4334,10129,152,10129,9977,,9752,0,225,9977,0,0,9977,0,0
02/夜多い,person_02_night_high_h265.mp4,True,True,True,start_end,138,3373,6444,138,6444,6306,,6145,0,161,6306,0,0,6306,0,0
02/夜少ない,person_02_night_low_h265.mp4,True,True,True,start_end,151,3179,6413,151,6413,6262,,6104,0,158,6262,0,0,6262,0,0
03/昼多い,person_03_day_high_h265.mp4,True,True,True,start_end,150,4505,9197,150,9197,9047,,8986,0,61,9047,0,0,9047,0,0
03/昼少ない,person_03_day_low_h265.mp4,True,True,True,start_end,551,4435,9511,551,9511,8960,,8693,0,267,8960,0,0,8960,0,0
03/夜多い,person_03_night_high_h265.mp4,True,True,True,start_end,210,4250,9264,210,9264,9054,,8899,0,155,9054,0,0,9054,0,0
03/夜少ない,person_03_night_low_h265.mp4,True,True,True,start_end,195,4720,10274,195,10274,10079,,9882,0,197,10079,0,0,10075,0,4
04/昼多い,person_04_day_high_h265.mp4,True,True,True,start_end,353,3814,6331,353,6331,5978,,5962,0,16,5978,0,0,5978,0,0
04/昼少ない,person_04_day_low_h265.mp4,True,True,True,start_end,127,3674,7421,127,7421,7294,,7278,0,16,7294,0,0,7294,0,0
04/夜多い,person_04_night_high_h265.mp4,True,True,True,start_end,232,3334,6321,232,6321,6089,,6058,0,31,6089,0,0,6089,0,0
04/夜少ない,person_04_night_low_h265.mp4,True,True,True,start_end,512,4582,8311,512,8311,7799,,7767,0,32,7799,0,0,7799,0,0
05/昼多い,person_05_day_high_h265.mp4,True,True,True,start_end,281,4456,8761,281,8761,8480,,8185,0,295,8477,0,3,8480,0,0
05/昼少ない,person_05_day_low_h265.mp4,True,True,True,start_end,71,4282,8360,71,8360,8289,,8230,0,59,8286,0,3,8289,0,0
